entry_time,exit_time,side,entry_price,exit_price,qty,bars_held,exit_reason,pnl_ticks,gross_pnl_usd,costs_usd,net_pnl_usd
2025-04-02 15:45:00+00:00,2025-04-02 15:48:00+00:00,short,19638.5,19638.75,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-04-02 17:21:00+00:00,2025-04-02 17:24:00+00:00,short,19850.75,19851.0,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-04-02 17:42:00+00:00,2025-04-02 17:45:00+00:00,short,19775.0,19775.25,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-04-02 18:03:00+00:00,2025-04-02 18:06:00+00:00,short,19682.0,19682.25,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-04-03 14:15:00+00:00,2025-04-03 14:18:00+00:00,long,18925.25,18915.0,1,1,stop,-41.0,-205.0,4.5,-209.5
2025-04-08 15:18:00+00:00,2025-04-08 15:21:00+00:00,long,18079.5,18079.25,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-04-08 16:27:00+00:00,2025-04-08 16:30:00+00:00,long,17920.25,17920.0,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-04-08 17:15:00+00:00,2025-04-08 17:18:00+00:00,long,17633.75,17633.5,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-04-08 17:42:00+00:00,2025-04-08 17:45:00+00:00,long,17702.5,17702.25,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-04-08 18:30:00+00:00,2025-04-08 18:33:00+00:00,long,17569.5,17569.25,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-04-08 19:21:00+00:00,2025-04-08 19:24:00+00:00,long,17249.5,17249.25,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-04-10 19:06:00+00:00,2025-04-10 19:09:00+00:00,short,18489.0,18489.25,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-04-11 16:24:00+00:00,2025-04-11 16:27:00+00:00,short,18551.5,18561.75,1,1,stop,-41.0,-205.0,4.5,-209.5
2025-04-11 16:54:00+00:00,2025-04-11 16:57:00+00:00,short,18742.0,18742.25,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-04-11 17:18:00+00:00,2025-04-11 17:21:00+00:00,short,18674.0,18674.25,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-04-11 18:51:00+00:00,2025-04-11 18:54:00+00:00,short,18780.5,18780.75,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-04-14 15:54:00+00:00,2025-04-14 15:57:00+00:00,long,18872.5,18872.25,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-04-14 16:18:00+00:00,2025-04-14 16:21:00+00:00,long,18858.25,18858.0,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-04-14 17:00:00+00:00,2025-04-14 17:03:00+00:00,long,18844.25,18834.0,1,1,stop,-41.0,-205.0,4.5,-209.5
2025-04-14 17:21:00+00:00,2025-04-14 17:24:00+00:00,long,18905.25,18905.0,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-04-14 17:51:00+00:00,2025-04-14 17:54:00+00:00,long,18938.5,18938.25,1,1,stop,-1.0,-5.0,4.5,-9.5
2025-04-16 15:30:00+00:00,2025-04-16 15:33:00+00:00,short,18693.0,18703.25,1,1,stop,-41.0,-205.0,4.5,-209.5
